Production_test,Production_predicted
26456,16564.267304830915
13252,14792.62585115086
8755,15910.415065369823
15785,24373.236701657992
23404,11743.173454224698
6562,6537.382115408421
60990,60906.79779519849
58485,58725.58030885911
5627,5615.128950456718
2561,29662.528861453524
7269,6846.991933846597
32125,26869.539737653733
933,15601.451019119706
24059,23035.446034405875
21700,27695.501131934845
39610,26381.01269283107
36076,29623.07785211208
31578,31077.26923119842
568,20633.59910578574
30585,15892.105282242868
10932,27340.11015128449
56755,56534.199308139236
15948,15916.255179444586
37888,33905.45728535732
1016,20889.983539102406
24984,24391.18396025676
59791,59584.28345430906
33210,16472.926717658287
59051,21013.548694277637
50645,51086.64150080152
60181,60070.89715443168
35102,27766.562674807086
25357,26731.879189300886
5710,5595.713191422876
21950,26773.002047061684
25267,25186.183364662054
24631,28608.938604043735
254,16564.267304830915
606,15036.184883160435
55777,55458.167335849976
10575,26211.919349872725
53090,53203.58426402425
35606,27546.805621268613
0,219.47401393093438
26456,27340.11015128449
16826,16564.267304830915
5605,19363.03871972555
24271,24391.18396025676
43278,26353.22216295211
31427,26686.885616390817
44347,28641.53695079714
29054,26386.44649870617
26456,24235.52124460467
5364,26309.658833715
11730,16564.267304830915
22004,26824.638635062325
11336,11583.981582560293
9760,26342.2571804684
18387,16545.685377395443
26456,26393.472751886267
52776,52543.76600202749
4840,22956.23493467601
37991,37615.42886698465
25062,24992.133538309667
19018,21921.811677002486
54699,55164.20275015274
37448,37640.840774255645
23919,28962.721402216855
21786,21958.161761950323
7583,8205.705452462738
52675,42390.4563493753
8921,26805.81889063526
3948,24428.22172012338
686,26381.01269283107
19376,26309.658833715
839,16564.267304830915
26456,26393.472751886267
702,15916.255179444586
7505,15601.451019119706
12100,27095.131407296736
26456,24235.52124460467
23712,23729.491598846627
50591,50853.012523356185
26456,27340.11015128449
22897,23202.354160657895
22334,26342.2571804684
45014,45174.31974889825
19187,19560.07352591008
35778,26450.708782940615
26456,26342.2571804684
26456,26792.04028830892
6430,6606.044563260953
58618,58718.96016441192
4819,23035.446034405875
10622,8300.872016258098
46978,43713.78829537538
46181,46319.45687218244
83,160.56719192579868
14879,26309.658833715
26456,26259.97982955232
36706,26309.658833715
27565,27822.83796811309
30869,24391.18396025676
3176,22623.162660985432
59240,59311.25570141966
61696,61651.95876375161
26456,3450.619131775959
0,223.51343652306142
28055,28208.445314616136
1881,1861.6999181794265
11667,11618.736531830591
4509,31153.021206697063
29565,26902.138084407143
6870,26309.658833715
51176,51585.789729516815
3318,3190.701538593609
55209,54243.52616186821
0,27340.11015128449
59292,59380.85097910091
50719,51213.287163272325
51322,51427.00080519501
12206,11379.579844933525
12445,12172.201100801967
10073,19363.03871972555
22109,15601.451019119706
4400,4848.350740422494
1667,1668.0110816104998
26456,8626.934068005507
24313,26345.954298904053
59008,43421.8336044637
42665,16564.267304830915
33122,15601.451019119706
31246,30901.95608852444
2857,2990.1890711423002
8089,7885.373317280082
53522,53430.906223663995
26456,15601.451019119706
14985,15417.759209556312
41745,42513.842502219115
26456,26259.97982955232
3770,3693.178547439536
55807,56299.887714121855
51384,51431.98528883878
4531,4848.350740422494
47726,47895.13177838117
26456,24391.18396025676
58947,58814.488343916295
26456,15601.451019119706
7131,7040.759803778957
37274,37107.56059428181
30461,24428.22172012338
6771,6753.307506545369
26456,27340.11015128449
52543,53034.96816209724
40261,39927.715159339634
34706,26342.2571804684
0,54.05504869880322
19914,21891.700634228037
29956,24391.18396025676
26456,24235.52124460467
0,26650.018801034996
21247,20854.314306223067
0,55.26032670808254
61737,61653.415115346565
26456,27340.11015128449
19285,24391.18396025676
26975,15601.451019119706
44114,26869.539737653733
60286,60070.56701122055
12617,12795.481361689388
35933,35598.223083600926
59444,59691.676228362536
3211,3313.9294868224706
21405,30853.906230588273
27102,26821.060810724226
5764,24428.22172012338
27059,26964.966088270372
0,16564.267304830915
9535,31753.731254953527
16514,18220.59651355383
17443,20029.721393698823
27325,27340.11015128449
37227,23035.446034405875
0,52.243246041116855
26456,27089.725281325154
47341,47295.50409379604
26456,15601.451019119706
19575,19189.284374082978
32288,32033.257659235267
0,26378.55264565746
60416,26869.539737653733
14210,25737.86901432507
45899,30987.49781717088
1429,12456.49725332422
1068,969.3065355434483
16917,27340.11015128449
44659,35098.81933416293
26973,26309.658833715
25027,25757.900822645403
59117,42052.54679482132
34248,34052.89536789004
11656,11846.827073762246
55087,54991.395359909184
56974,56960.348946264334
10735,15601.451019119706
54817,54693.8724503845
8628,8827.831641434428
7583,7090.6400552741225
942,17568.717385030475
12845,12882.523796743977
789,26309.658833715
27750,20489.483195282504
1582,20889.983539102406
59874,59908.49303790434
28631,34949.216412922404
2586,24524.09363132594
62081,62052.55672368937
38807,38587.48632224808
4185,4048.393783142326
26456,24391.18396025676
1821,15601.451019119706
4046,4307.782279852461
8762,26259.97982955232
12857,22623.162660985432
52735,52588.225714001135
0,245.46712839647836
28598,31277.298190062513
18306,19741.413774485223
43812,43814.82454623017
16994,16311.061878348512
42939,24791.641873089364
12674,14225.658687760497
47076,27767.869996948502
31385,32227.80891926141
26456,26805.81889063526
43001,43066.37220256393
39667,39250.71286176422
15545,16783.997941560323
41985,41894.00082832633
27711,28438.536193404187
24614,26211.919349872725
28274,28331.297973540462
3834,4137.582351552537
56853,31753.731254953527
24098,24620.89087481171
45429,26342.2571804684
49589,27735.2716501951
36701,27340.11015128449
34210,34703.1790302041
61708,61648.46656576137
46469,46653.34213446569
26456,24391.18396025676
30911,29932.890243249993
26456,24235.52124460467
26456,20889.983539102406
11319,11336.71723188983
59839,59934.92769934357
46195,45983.871826265495
49088,49211.60961374421
26456,27615.25964083609
52025,51265.74590778265
6455,6334.131624040429
50155,22921.139429677267
5364,15916.255179444586
33904,33626.96515958742
17515,18172.87553010247
52351,27095.131407296736
3507,3765.841755065689
32376,26869.539737653733
30260,26345.954298904053
26456,22288.360454203572
39682,39741.73970976736
32112,27332.913513449483
7290,7512.384096322469
8241,7235.636590340826
24031,26309.658833715
0,357.990309263471
26456,26450.708782940615
21260,22329.521513265576
9294,8791.662508185975
2790,26342.2571804684
9422,26309.658833715
53814,27340.11015128449
12814,12700.59308970502
1600,1642.6510829294734
31881,27372.708498037897
35811,26309.658833715
15067,26792.04028830892
26456,26393.472751886267
53640,16619.010531262236
48009,47447.31806681976
52128,36338.89559235993
38637,39164.488647392696
51333,26927.638395047965
36642,23035.446034405875
6902,6667.492186492345
5001,4494.15305486435
26145,26230.810204971254
14790,26309.658833715
43206,40354.64830162379
50625,35050.2207618675
910,27340.11015128449
26456,24391.18396025676
23105,26342.2571804684
34803,34158.62891790641
0,195.09156445836118
26590,26514.418805580503
51,9797.045790597484
0,580.8596110864423
38247,39521.327209191615
26483,24391.18396025676
29243,29930.106750151055
16375,15601.451019119706
26456,26450.708782940615
4677,35098.81933416293
28464,16564.267304830915
1038,988.0464495592832
59487,59692.909421639844
3089,519.1355612960004
57300,56134.45259094758
5926,6036.759162180221
41759,28608.938604043735
35468,33838.704430630525
40707,39359.336416146274
26456,27372.708498037897
40421,39266.63031078622
38749,39219.36016247575
18269,24391.18396025676
28864,38433.2847684538
40925,26773.002047061684
26456,26325.83
26456,24235.52124460467
11700,26309.658833715
26456,16070.281439390199
9551,10247.177269004174
22155,18883.879131760412
32149,31082.951609393236
4171,4180.6910672215545
26456,45483.406515150025
3722,26309.658833715
7373,22655.761007738834
26456,26309.658833715
57290,57186.53952754488
26456,27372.708498037897
4359,15601.451019119706
49830,50243.25364575845
42412,27095.131407296736
24233,11768.184700953123
55664,49471.30384332952
29964,27486.902031564452
43028,42244.896653100346
46307,43494.24412651878
18337,24202.39418420893
571,12121.960158148757
61463,46267.356273261656
32542,21569.410297206385
45227,24391.18396025676
48459,48139.454040717304
51020,15632.615073072235
24118,24013.900401297306
37258,43319.717852042886
26456,15601.451019119706
7719,15601.451019119706
23704,23714.746676292703
15448,19233.395815568132
14684,18406.996762003964
18662,18872.848777567913
21405,19784.7858616117
22365,22505.728731280073
2159,26381.01269283107
12331,29163.93335493184
24278,24367.321020831816
58735,58699.01997274776
9570,26305.185962793348
40448,40153.927344179276
30545,30839.59552268333
11382,11542.562845549903
5688,21898.166522853495
35907,35770.46971026297
12,20889.983539102406
15710,26342.2571804684
47635,27735.2716501951
11144,16560.001653432304
1548,1836.648930800141
59641,59447.63861121187
2350,26773.002047061684
26487,28793.23112418067
4657,27609.099722860316
32762,20889.983539102406
8511,8710.43275030137
4008,3759.367782899827
52847,52681.18056591125
3592,15838.285497871742
26456,24391.18396025676
42678,42613.22594905371
6829,6973.240345873975
62162,62162.94624810304
26456,27340.11015128449
8754,9012.431583504069
26456,27372.708498037897
44213,42999.636057552605
3172,3329.267882613427
28007,24059.26473144718
26456,26838.417237388665
19486,20648.526965222707
6615,29447.20056028898
41790,41573.33562817653
45172,45041.102762146795
40538,40621.829553040996
26456,20889.983539102406
54444,54872.42329946543
26456,23094.630906742615
12964,12336.936053045105
19372,21021.03491759576
26456,24391.18396025676
55733,55826.4625216514
26305,22111.942820488104
22250,26309.658833715
19109,26309.658833715
22515,21945.615470333276
0,19.593365946089854
24950,16064.785529074848
14452,26309.658833715
48750,48681.4558775997
54335,53814.4606485148
39208,26305.185962793348
28945,23171.32663087537
18063,18350.117874778218
15303,20420.067927939337
34633,33524.326137973796
12331,13243.676116590106
26456,26450.708782940615
35237,35715.7276600303
20299,19136.008325751194
26456,27335.000154904876
52690,52661.72013069708
30705,27372.708498037897
49682,49629.10097598214
24115,19755.409473759824
58608,58865.92328852822
34082,26869.539737653733
14981,15564.344970827018
22655,26309.658833715
95,24391.18396025676
26456,26149.98169674099
21052,20641.275740456385
5697,20889.983539102406
35343,37593.13378751821
3549,12255.02713732679
57261,57185.34337881157
26456,27340.11015128449
52322,35225.51280822559
42413,27735.2716501951
50288,50633.7190697842
2915,15601.451019119706
44743,42299.800811196605
5030,7329.855245428089
30046,20420.067927939337
41164,26309.658833715
30494,24391.18396025676
15606,15965.65740195872
50829,51125.48254680854
180,11755.05968327061
20466,20778.437026421434
52805,32408.565806256403
26456,15601.451019119706
47574,47646.037180664076
28774,23179.123624276806
3302,15632.615073072235
5886,15947.419233397115
47186,47078.497203468316
13558,13422.460432360158
20894,21107.066619557798
23198,22222.19247602932
59143,59146.56625464885
43093,43301.32201953935
47668,47234.46327347956
27818,22262.86761778596
11075,23035.446034405875
1453,1713.0272392903707
1274,15722.853692380115
27846,28020.913887929473
45874,20420.067927939337
60365,50875.58392775262
23856,23976.260320237343
55191,55600.79255645203
51532,50814.16433963379
17174,24391.18396025676
14238,26309.658833715
37793,29290.919218275558
22184,19329.24699295325
8552,7822.566720672988
4794,16603.501355016277
426,24521.69578492546
58810,35996.7853004405
3,10658.961785152114
7769,12153.960808632588
4067,20889.983539102406
37141,33815.81175687045
1672,15601.451019119706
59278,59155.201147202424
40362,40701.736941228264
54340,54626.25884414294
1524,26309.658833715
10584,33767.21318457502
27099,26838.417237388665
50434,50143.573637034715
26456,26450.708782940615
1925,2017.3718084069887
0,15927.734231591015
1069,1110.5749746569347
55469,55044.55526427527
18288,35050.2207618675
8551,24391.18396025676
24694,26353.22216295211
26456,26149.98169674099
8004,8241.157011188569
18922,19140.737165917006
35171,35990.24861947288
17120,17580.6895399817
3818,15601.451019119706
50337,39685.44086084548
54315,26792.04028830892
26456,27427.26801076666
48053,48216.508640013046
14458,14714.461246726183
57449,57416.48948077335
39694,40026.155724893084
20790,24391.18396025676
60265,59682.0364136311
43164,43106.462083953826
7825,7555.569630493715
16412,21482.912622279786
26456,27427.26801076666
4827,4567.707100091058
6853,7168.691364589499
30015,29729.775226307087
52037,52141.5811807882
25434,22623.162660985432
58553,44011.30836171311
37470,37362.66077323199
62292,62258.92197686916
26456,27340.11015128449
62037,62074.218517810674
47132,26342.2571804684
26456,27340.11015128449
0,24428.22172012338
19555,21696.973990683993
0,53.76294268446145
8798,8410.33063282671
56513,56429.22922485415
10713,9860.081844010845
34306,15838.285497871742
27954,15601.451019119706
31175,25805.937022804163
39050,39026.477000621206
8554,8467.109414775357
8797,8932.219362756226
42428,28766.77945892982
26456,23094.630906742615
12552,26417.308158020125
81,20889.983539102406
37919,37972.33840228879
26456,26309.658833715
10940,10887.232934693056
34193,26309.658833715
10758,16678.46991270948
33390,33588.792982009174
27738,23855.776398220714
745,296.7773638079312
12443,27340.11015128449
15431,14994.566550822474
46234,27372.708498037897
14534,35176.91423593017
40797,39178.84186146785
13979,14097.031811540457
28422,28858.748010887255
59767,59954.05660332885
26456,15941.57911932235
7889,7925.793192543359
26456,26393.472751886267
0,26342.2571804684
8744,15601.451019119706
38799,26309.658833715
56767,56650.838702767964
15963,15456.886178084558
6798,6699.644794712503
40472,40532.655020201084
44298,43818.19036666284
36353,27702.894969609522
38532,38596.49917250422
20127,35098.81933416293
5635,5158.440572954872
48071,48068.57358821345
0,1037.5882026400493
50413,50354.90124063286
1855,26675.26256321941
30055,29786.19007381132
